data_generacji,mieszkania_wojewodztwo,mieszkania_region,mieszkania_rok,mieszkania_ilosc
2025-01-19 13:26:14.332575+00:00,ŚLĄSKIE,wieś,2018,329756
2025-01-19 13:26:14.332575+00:00,LUBUSKIE,wieś,2018,110912
2025-01-19 13:26:14.332575+00:00,WIELKOPOLSKIE,wieś,2018,462494
2025-01-19 13:26:14.332575+00:00,ZACHODNIOPOMORSKIE,wieś,2018,173253
2025-01-19 13:26:14.332575+00:00,DOLNOŚLĄSKIE,wieś,2018,300273
2025-01-19 13:26:14.332575+00:00,OPOLSKIE,wieś,2018,145126
2025-01-19 13:26:14.332575+00:00,KUJAWSKO-POMORSKIE,wieś,2018,247793
2025-01-19 13:26:14.332575+00:00,POMORSKIE,wieś,2018,239526
2025-01-19 13:26:14.332575+00:00,WARMIŃSKO-MAZURSKIE,wieś,2018,184372
2025-01-19 13:26:14.332575+00:00,ŁÓDZKIE,wieś,2018,311279
2025-01-19 13:26:14.332575+00:00,ŚWIĘTOKRZYSKIE,wieś,2018,218824
2025-01-19 13:26:14.332575+00:00,LUBELSKIE,wieś,2018,379446
2025-01-19 13:26:14.332575+00:00,PODKARPACKIE,wieś,2018,347377
2025-01-19 13:26:14.332575+00:00,PODLASKIE,wieś,2018,165765
2025-01-19 13:26:14.332575+00:00,MAZOWIECKIE,wieś,2018,641982
2025-01-19 13:26:17.422852+00:00,MAŁOPOLSKIE,wieś,2019,497608
2025-01-19 13:26:17.422852+00:00,ŚLĄSKIE,wieś,2019,333285
2025-01-19 13:26:17.422852+00:00,LUBUSKIE,wieś,2019,112128
2025-01-19 13:26:17.422852+00:00,WIELKOPOLSKIE,wieś,2019,472031
2025-01-19 13:26:17.422852+00:00,ZACHODNIOPOMORSKIE,wieś,2019,175037
