data_generacji,data_waluty,zloto_cena
2025-01-04 22:42:38.353613+00:00,2014-09-01,132.14
2025-01-04 22:45:18.934079+00:00,2017-10-23,148.14
2025-01-04 22:44:23.827689+00:00,2016-09-23,164.14
2025-01-04 22:49:12.067520+00:00,2020-06-03,220.14
2025-01-04 22:50:18.005366+00:00,2021-09-10,220.14
2025-01-04 22:53:09.354096+00:00,2023-05-19,264.28
2025-01-04 22:54:14.926941+00:00,2024-09-02,312.28
2025-01-04 22:52:08.049690+00:00,2022-03-16,264.53
2025-01-04 22:49:39.549982+00:00,2020-12-18,220.39
2025-01-04 22:52:04.464166+00:00,2022-02-17,236.39
2025-01-04 22:50:28.535795+00:00,2021-11-23,244.39
2025-01-04 22:41:20.508079+00:00,2013-10-17,126.32
2025-01-04 22:42:51.879350+00:00,2014-12-11,132.64
2025-01-04 22:43:20.050435+00:00,2015-06-26,140.64
2025-01-04 22:47:53.960196+00:00,2018-11-20,148.64
2025-01-04 22:42:58.199078+00:00,2015-01-26,156.89
2025-01-04 22:52:08.339033+00:00,2022-03-18,265.78
2025-01-04 22:43:14.949813+00:00,2015-05-20,141.14
2025-01-04 22:53:05.525015+00:00,2023-04-24,266.53
2025-01-04 22:52:50.870184+00:00,2023-01-18,267.03
2025-01-04 22:42:20.367793+00:00,2014-04-29,126.82
2025-01-04 22:42:21.465060+00:00,2014-05-07,126.82
2025-01-04 22:48:12.710698+00:00,2019-04-05,157.64
2025-01-04 22:39:59.788959+00:00,2013-02-08,165.64
2025-01-04 22:49:14.644016+00:00,2020-06-22,221.64
2025-01-04 22:50:20.975110+00:00,2021-09-30,221.64
2025-01-04 22:43:28.426375+00:00,2015-08-26,133.89
2025-01-04 22:47:44.509797+00:00,2018-09-12,141.89
2025-01-04 22:49:55.704344+00:00,2021-04-12,213.89
2025-01-04 22:50:25.942386+00:00,2021-11-05,229.89
2025-01-04 22:40:59.312288+00:00,2013-05-22,142.14
2025-01-04 22:45:16.347962+00:00,2017-10-04,150.14
2025-01-04 22:39:56.650601+00:00,2013-01-16,166.14
2025-01-04 22:39:56.912189+00:00,2013-01-18,166.14
2025-01-04 22:44:18.354788+00:00,2016-08-16,166.14
2025-01-04 22:48:28.248642+00:00,2019-07-24,174.14
2025-01-04 22:43:21.964716+00:00,2015-07-09,142.39
2025-01-04 22:45:16.193855+00:00,2017-10-03,150.39
2025-01-04 22:44:10.878644+00:00,2016-06-23,158.39
2025-01-04 22:49:09.339289+00:00,2020-05-13,230.39
2025-01-04 22:43:36.797404+00:00,2015-10-26,142.64
2025-01-04 22:45:21.486311+00:00,2017-11-10,150.64
2025-01-04 22:45:16.044831+00:00,2017-10-02,150.64
2025-01-04 22:44:13.080023+00:00,2016-07-08,174.64
2025-01-04 22:49:09.199705+00:00,2020-05-12,230.64
2025-01-04 22:54:19.985493+00:00,2024-10-09,333.53
2025-01-04 22:43:26.364222+00:00,2015-08-11,134.89
2025-01-04 22:43:43.726502+00:00,2015-12-16,134.89
2025-01-04 22:45:26.039089+00:00,2017-12-12,142.89
2025-01-04 22:48:18.844412+00:00,2019-05-17,158.89
2025-01-04 22:54:24.044595+00:00,2024-11-08,349.78
2025-01-04 22:41:17.210644+00:00,2013-09-23,135.14
2025-01-04 22:47:39.842861+00:00,2018-08-08,143.14
2025-01-04 22:45:15.522059+00:00,2017-09-28,151.14
2025-01-04 22:52:27.004391+00:00,2022-07-26,255.14
2025-01-04 22:48:28.404483+00:00,2019-07-25,175.39
2025-01-04 22:49:44.558240+00:00,2021-01-22,223.39
2025-01-04 22:44:39.936615+00:00,2017-01-19,159.64
2025-01-04 22:45:10.434551+00:00,2017-08-21,151.89
2025-01-04 22:39:57.304805+00:00,2013-01-21,167.89
2025-01-04 22:49:48.308575+00:00,2021-02-16,215.89
2025-01-04 22:49:45.542460+00:00,2021-01-29,223.89
2025-01-04 22:45:33.661757+00:00,2018-01-30,144.21
2025-01-04 22:52:48.599006+00:00,2023-01-02,256.67
2025-01-04 22:41:29.357580+00:00,2013-12-18,120.23
2025-01-04 22:41:29.483135+00:00,2013-12-19,120.23
2025-01-04 22:42:14.258381+00:00,2014-03-25,128.46
2025-01-04 22:48:46.936963+00:00,2019-12-02,184.46
2025-01-04 22:49:45.949706+00:00,2021-02-01,224.46
2025-01-04 22:50:10.359565+00:00,2021-07-23,224.46
2025-01-04 22:54:08.298166+00:00,2024-07-22,304.92
2025-01-04 22:47:31.123152+00:00,2018-06-05,152.71
2025-01-04 22:44:12.944212+00:00,2016-07-07,176.71
2025-01-04 22:49:14.783260+00:00,2020-06-23,224.71
2025-01-04 22:49:10.244593+00:00,2020-05-20,232.71
2025-01-04 22:52:06.110888+00:00,2022-03-01,257.67
2025-01-04 22:42:31.262578+00:00,2014-07-10,128.96
2025-01-04 22:42:42.413162+00:00,2014-10-01,128.96
2025-01-04 22:47:48.817439+00:00,2018-10-12,144.96
2025-01-04 22:49:23.224584+00:00,2020-08-25,232.96
2025-01-04 22:53:14.389459+00:00,2023-06-23,248.96
2025-01-04 22:54:25.897625+00:00,2024-11-22,354.17
2025-01-04 22:47:18.200035+00:00,2018-03-14,145.21
2025-01-04 22:48:22.498591+00:00,2019-06-13,161.21
2025-01-04 22:54:22.715052+00:00,2024-10-29,354.42
