data_generacji,kryptowaluta_data,kryptowaluta_cena,kryptowaluta_waluta,kryptowaluta_nazwa,kryptowaluta_kod
2024-01-18 10:04:28+00:00,2024-01-18,983.76,PLN,BITCOIN CASH,bch
2024-09-22 10:02:02+00:00,2024-09-22,1309.09,PLN,BITCOIN CASH,bch
2024-03-23 10:00:03+00:00,2024-03-23,1739.7,PLN,BITCOIN CASH,bch
2024-03-30 10:04:27+00:00,2024-03-30,2418.87,PLN,BITCOIN CASH,bch
2024-07-26 10:01:42+00:00,2024-07-26,1468.53,PLN,BITCOIN CASH,bch
2024-07-20 10:00:05+00:00,2024-07-20,1545.25,PLN,BITCOIN CASH,bch
2023-11-12 10:02:10+00:00,2023-11-12,989.63,PLN,BITCOIN CASH,bch
2024-02-25 10:01:43+00:00,2024-02-25,1060.59,PLN,BITCOIN CASH,bch
2024-09-06 10:02:44+00:00,2024-09-06,1186.99,PLN,BITCOIN CASH,bch
2024-11-30 10:00:03+00:00,2024-11-30,2103.41,PLN,BITCOIN CASH,bch
2024-11-05 10:02:47+00:00,2024-11-05,1358.95,PLN,BITCOIN CASH,bch
2024-06-20 10:00:03+00:00,2024-06-20,1599.8,PLN,BITCOIN CASH,bch
2024-02-22 10:00:09+00:00,2024-02-22,1052.83,PLN,BITCOIN CASH,bch
2024-11-27 10:00:21+00:00,2024-11-27,2046.82,PLN,BITCOIN CASH,bch
2024-03-31 10:00:03+00:00,2024-03-31,2358.92,PLN,BITCOIN CASH,bch
2024-06-02 10:01:29+00:00,2024-06-02,1824.82,PLN,BITCOIN CASH,bch
2024-09-19 10:00:06+00:00,2024-09-19,1325.43,PLN,BITCOIN CASH,bch
2024-02-23 10:00:02+00:00,2024-02-23,1042.58,PLN,BITCOIN CASH,bch
2024-09-10 10:00:45+00:00,2024-09-10,1253.64,PLN,BITCOIN CASH,bch
2024-07-07 10:00:04+00:00,2024-07-07,1299.4,PLN,BITCOIN CASH,bch
2024-06-21 10:03:14+00:00,2024-06-21,1582.65,PLN,BITCOIN CASH,bch
2024-02-19 10:00:02+00:00,2024-02-19,1083.27,PLN,BITCOIN CASH,bch
2024-12-11 10:00:03+00:00,2024-12-11,2139.5,PLN,BITCOIN CASH,bch
2024-07-13 10:00:15+00:00,2024-07-13,1469.21,PLN,BITCOIN CASH,bch
2023-12-30 10:00:02+00:00,2023-12-30,1098.04,PLN,BITCOIN CASH,bch
2024-10-31 10:02:37+00:00,2024-10-31,1502.87,PLN,BITCOIN CASH,bch
2024-04-15 10:00:02+00:00,2024-04-15,2260.97,PLN,BITCOIN CASH,bch
2024-01-22 10:00:19+00:00,2024-01-22,928.67,PLN,BITCOIN CASH,bch
2024-07-10 10:01:37+00:00,2024-07-10,1353.66,PLN,BITCOIN CASH,bch
2024-08-19 10:00:03+00:00,2024-08-19,1287.89,PLN,BITCOIN CASH,bch
2024-09-03 10:01:57+00:00,2024-09-03,1242.25,PLN,BITCOIN CASH,bch
2023-12-02 10:00:02+00:00,2023-12-02,897.22,PLN,BITCOIN CASH,bch
2024-11-14 10:01:59+00:00,2024-11-14,1819.98,PLN,BITCOIN CASH,bch
2024-11-19 10:02:11+00:00,2024-11-19,1843.13,PLN,BITCOIN CASH,bch
2023-11-05 10:04:07+00:00,2023-11-05,993.77,PLN,BITCOIN CASH,bch
2023-10-29 10:02:24+00:00,2023-10-29,1039.31,PLN,BITCOIN CASH,bch
2024-09-09 10:00:04+00:00,2024-09-09,1191.6,PLN,BITCOIN CASH,bch
2024-08-17 10:00:03+00:00,2024-08-17,1312.36,PLN,BITCOIN CASH,bch
2023-10-31 10:02:45+00:00,2023-10-31,1020.88,PLN,BITCOIN CASH,bch
2023-11-02 10:00:15+00:00,2023-11-02,1020.04,PLN,BITCOIN CASH,bch
2024-02-03 10:00:02+00:00,2024-02-03,962.66,PLN,BITCOIN CASH,bch
2023-11-28 10:00:02+00:00,2023-11-28,879.63,PLN,BITCOIN CASH,bch
2024-02-17 10:04:34+00:00,2024-02-17,1084.1,PLN,BITCOIN CASH,bch
2024-10-09 10:02:54+00:00,2024-10-09,1285.17,PLN,BITCOIN CASH,bch
2023-10-12 10:02:38+00:00,2023-10-12,914.23,PLN,BITCOIN CASH,bch
2024-03-03 10:00:03+00:00,2024-03-03,1917.08,PLN,BITCOIN CASH,bch
2023-12-07 10:00:02+00:00,2023-12-07,982.57,PLN,BITCOIN CASH,bch
2024-09-23 10:00:04+00:00,2024-09-23,1315.24,PLN,BITCOIN CASH,bch
2024-03-09 10:00:22+00:00,2024-03-09,1739.32,PLN,BITCOIN CASH,bch
2024-10-23 10:00:03+00:00,2024-10-23,1419.79,PLN,BITCOIN CASH,bch
2024-11-15 10:00:03+00:00,2024-11-15,1719.18,PLN,BITCOIN CASH,bch
2024-07-03 10:01:38+00:00,2024-07-03,1502.12,PLN,BITCOIN CASH,bch
2024-05-18 10:01:40+00:00,2024-05-18,1900.97,PLN,BITCOIN CASH,bch
2024-02-13 10:05:19+00:00,2024-02-13,1108.96,PLN,BITCOIN CASH,bch
2025-01-04 10:01:31+00:00,2025-01-04,1958.64,PLN,BITCOIN CASH,bch
2024-04-09 10:00:02+00:00,2024-04-09,2625.91,PLN,BITCOIN CASH,bch
