data_generacji,mieszkania_cena_rok,mieszkania_cena_wojewodztwo,mieszkania_cena_metr_kwadratowy,mieszkania_cena_waluta
2025-01-21 22:47:56.150383+00:00,2018,WIELKOPOLSKIE,4550.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,ZACHODNIOPOMORSKIE,4358.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,DOLNOŚLĄSKIE,4461.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,OPOLSKIE,3118.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,KUJAWSKO-POMORSKIE,3866.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,POMORSKIE,5698.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,WARMIŃSKO-MAZURSKIE,3515.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,ŁÓDZKIE,4046.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,ŚWIĘTOKRZYSKIE,3775.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,LUBELSKIE,4562.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,PODKARPACKIE,3942.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,PODLASKIE,4193.0,PLN
2025-01-21 22:47:56.150383+00:00,2018,MAZOWIECKIE,7250.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,MAŁOPOLSKIE,6498.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,ŚLĄSKIE,3496.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,LUBUSKIE,3305.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,WIELKOPOLSKIE,4366.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,ZACHODNIOPOMORSKIE,4551.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,DOLNOŚLĄSKIE,4689.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,OPOLSKIE,3350.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,KUJAWSKO-POMORSKIE,4153.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,POMORSKIE,6138.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,WARMIŃSKO-MAZURSKIE,3749.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,ŁÓDZKIE,4492.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,ŚWIĘTOKRZYSKIE,4134.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,LUBELSKIE,4818.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,PODKARPACKIE,4426.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,PODLASKIE,4660.0,PLN
2025-01-21 22:48:00.368756+00:00,2019,MAZOWIECKIE,7296.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,MAŁOPOLSKIE,7250.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,ŚLĄSKIE,3988.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,LUBUSKIE,3801.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,WIELKOPOLSKIE,4760.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,ZACHODNIOPOMORSKIE,4777.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,DOLNOŚLĄSKIE,4827.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,OPOLSKIE,3828.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,KUJAWSKO-POMORSKIE,4663.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,POMORSKIE,6751.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,WARMIŃSKO-MAZURSKIE,4242.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,ŁÓDZKIE,5078.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,ŚWIĘTOKRZYSKIE,4709.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,LUBELSKIE,5337.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,PODKARPACKIE,4799.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,PODLASKIE,5126.0,PLN
2025-01-21 22:48:04.558096+00:00,2020,MAZOWIECKIE,7646.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,MAŁOPOLSKIE,8036.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,ŚLĄSKIE,4473.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,LUBUSKIE,4109.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,WIELKOPOLSKIE,5354.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,ZACHODNIOPOMORSKIE,5497.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,DOLNOŚLĄSKIE,6062.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,OPOLSKIE,4027.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,KUJAWSKO-POMORSKIE,5117.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,POMORSKIE,7493.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,WARMIŃSKO-MAZURSKIE,4790.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,ŁÓDZKIE,5595.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,ŚWIĘTOKRZYSKIE,5101.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,LUBELSKIE,5888.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,PODKARPACKIE,5368.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,PODLASKIE,5688.0,PLN
2025-01-21 22:48:08.763660+00:00,2021,MAZOWIECKIE,8379.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,MAŁOPOLSKIE,9197.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,ŚLĄSKIE,5005.0,PLN
2025-01-21 22:48:12.973968+00:00,2022,LUBUSKIE,4798.0,PLN
